1.2.840.10008.1.1		// Verification SOP Class
1.2.840.10008.5.1.4.1.1.1	// Computed Radiography
1.2.840.10008.5.1.4.1.1.1.1	// Digital XRay Storage - Presentation
1.2.840.10008.5.1.4.1.1.2	// CT
1.2.840.10008.5.1.4.1.1.20	// NM (circa 1994)
1.2.840.10008.5.1.4.1.1.29	// Hardcopy Grayscale Image
1.2.840.10008.5.1.4.1.1.30	// Hardcopy Color Image
1.2.840.10008.5.1.4.1.1.4	// MR
1.2.840.10008.5.1.4.1.1.128	// Pet
1.2.840.10008.5.1.4.1.1.481.2	// RT Dose
1.2.840.10008.5.1.4.1.1.481.1	// RT Image
1.2.840.10008.5.1.4.1.1.481.3	// RT Structure Set
1.2.840.10008.5.1.4.1.1.7	// Secondary Capture
1.2.840.10008.5.1.4.1.1.9	// Stand-alone Curve
1.2.840.10008.5.1.4.1.1.10	// Stand-alone Modality Lut
1.2.840.10008.5.1.4.1.1.8	// Stand-alone Overlay
1.2.840.10008.5.1.4.1.1.11	// Stand-alone VOI LUT
1.2.840.10008.5.1.4.1.1.129	// Stand-alone PET Curve
1.2.840.10008.5.1.4.1.1.27	// Stored Print
1.2.840.10008.5.1.4.1.1.6	// Ultrasound Image (retired)
1.2.840.10008.5.1.4.1.1.6.1	// Ultrasound Image (circa 1995)
1.2.840.10008.5.1.4.1.1.3	// US Multiframe (retired)
1.2.840.10008.5.1.4.1.1.3.1	// US Multiframe (circa 1995)
1.2.840.10008.5.1.4.1.1.12.3	// XRay Angiographic Bi-Plane
1.2.840.10008.5.1.4.1.1.12.1	// Xray Angiographic Image
1.2.840.10008.5.1.4.1.1.12.2	// XRF
1.2.840.10008.5.1.4.1.1.1.1	// Dig XRay Image - For Presesentation
1.2.840.10008.5.1.4.1.1.1.2	// Digital Mammo - For Presentation
1.2.840.10008.5.1.4.1.1.1.3	// Dig Intra-oral XRay - For Presen

1.2.840.10008.5.1.4.1.1.11.1	// Presentation State
1.2.840.10008.5.1.4.1.1.88.59	// Key Object Note
1.2.840.10008.5.1.4.1.1.88.50	// Mammo CAD SR
1.2.840.10008.5.1.4.1.1.88.11	// Basic Text SR
1.2.840.10008.5.1.4.1.1.88.22	// Enhanced SR
1.2.840.10008.5.1.4.1.1.88.33	// Comprehensive SR
1.2.840.10008.5.1.4.1.1.88.65	// Chest CAD SR
1.2.840.10008.5.1.4.1.1.9.1.1	// 12 Lead ECG Waveform
1.2.840.10008.5.1.4.1.1.9.1.2	// General ECG Waveform
1.2.840.10008.5.1.4.1.1.66	// Raw data
1.2.840.10008.5.1.4.1.1.66.1	// Spatial registration
//1.2.840.10008.5.1.4.1.1.77.1.5.1	// Opthalmic Photo 8 Bit Image
//1.2.840.10008.5.1.4.1.1.77.1.5.2	// Opthalmic Photo 16 Bit Image
//1.2.840.10008.5.1.4.1.1.77.1.5.3	// Stereometric Relationship Class
1.2.840.10008.5.1.4.1.1.104.1	// Encapsulated PDF

